image	x_y	x	y	value
RA2_1	31_18	31	18	Synovial stroma
RA2_1	17_20	17	20	Infiltrate;Synovial stroma
RA2_1	25_11	25	11	Infiltrate
RA2_1	19_12	19	12	Synovial stroma
RA2_1	13_12	13	12	Synovial stroma
RA2_1	28_15	28	15	Synovial stroma
RA2_1	23_20	23	20	Infiltrate;Synovial stroma
RA2_1	19_20	19	20	Synovial stroma
RA2_1	16_20	16	20	Infiltrate
RA2_1	27_15	27	15	Synovial stroma
RA2_1	18_17	18	17	Synovial stroma
RA2_1	12_21	12	21	Infiltrate;Synovial stroma
RA2_1	29_20	29	20	Synovial stroma
RA2_1	17_21	17	21	Infiltrate;Synovial stroma
RA2_1	11_17	11	17	Infiltrate
RA2_1	13_15	13	15	Infiltrate
RA2_1	11_20	11	20	Infiltrate
RA2_1	29_13	29	13	Synovial stroma
RA2_1	20_12	20	12	Synovial stroma
RA2_1	25_21	25	21	Infiltrate
RA2_1	18_18	18	18	Synovial stroma
RA2_1	29_10	29	10	Synovial stroma
RA2_1	31_13	31	13	Synovial stroma
RA2_1	32_18	32	18	Synovial stroma
RA2_1	26_17	26	17	Synovial stroma
RA2_1	16_9	16	9	Synovial stroma
RA2_1	15_12	15	12	Synovial stroma
RA2_1	22_22	22	22	Infiltrate
RA2_1	27_14	27	14	Synovial stroma
RA2_1	13_22	13	22	Infiltrate
RA2_1	15_19	15	19	Infiltrate
RA2_1	17_18	17	18	Infiltrate;Synovial stroma
RA2_1	26_11	26	11	Infiltrate
RA2_1	26_18	26	18	Synovial stroma
RA2_1	24_13	24	13	Infiltrate
RA2_1	11_18	11	18	Infiltrate
RA2_1	11_21	11	21	Synovial stroma
RA2_1	22_9	22	9	Synovial stroma
RA2_1	18_13	18	13	Synovial stroma
RA2_1	16_12	16	12	Synovial stroma
RA2_1	21_19	21	19	Synovial stroma
RA2_1	12_13	12	13	Synovial stroma
RA2_1	14_13	14	13	Infiltrate;Synovial stroma
RA2_1	14_19	14	19	Infiltrate
RA2_1	23_16	23	16	Synovial stroma
RA2_1	31_17	31	17	Synovial stroma
RA2_1	17_16	17	16	Synovial stroma
RA2_1	12_12	12	12	Synovial stroma
RA2_1	25_20	25	20	Infiltrate
RA2_1	25_9	25	9	Synovial stroma
RA2_1	23_19	23	19	Synovial stroma
RA2_1	14_10	14	10	Synovial stroma
RA2_1	26_13	26	13	Infiltrate
RA2_1	16_17	16	17	Infiltrate
RA2_1	22_14	22	14	Infiltrate
