V1	V2	V3
X3_34_48	-20.4694316961047	10.677932433806	18.8688637366575
X3_34_50	-12.6381974914012	23.3934145581872	15.5341786241149
X3_43_39	-9.30302131043872	26.3020871986292	19.7959903726985
X3_43_41	-9.61927467248935	28.3703272784267	19.207175218758
X3_40_54	-12.50247736359	23.0870841662889	20.4106272166926
X3_39_43	-16.8451042133082	27.3779147364612	12.1116464213442
X3_35_51	-10.2722055164402	26.21915288617	19.2170178159087
X3_40_42	-10.7889450490523	29.5021730601494	18.2352163478356
X3_35_43	-12.2473385438792	16.854289252219	16.6434571859171
X3_36_50	-18.3947550681727	14.9978625942094	13.6863510699684
X3_55_55	-15.7451544542663	0.620994399668814	31.9402978295293
X3_44_40	-17.7114302804389	28.9398873356773	13.0758180780484
X3_35_49	-15.7931786889915	23.7543814615002	22.0830518158002
X3_34_42	-14.9670598942536	-14.510692396844	19.0060800864143
X3_40_44	-15.9952412574219	22.2430338950789	11.283651816338
X3_33_51	-11.1411918640933	27.0513914616742	18.5175082819612
X3_33_39	-16.9370025788191	-0.631964539177743	32.3734379797658
X3_40_56	-12.4284959605838	18.751776297445	9.5465923370912
X3_45_41	-18.7135467700309	12.0915946255602	18.5025564909513
X3_48_58	-18.8148389415645	-3.95899650454198	28.4070575319653
X3_56_52	-14.4341094201267	23.7234086888433	15.1944580019979
X3_42_40	-12.7432254115077	23.7425057956475	19.8315091599443
X3_43_45	-22.6466611593639	-3.67215265962219	17.6232105406892
X3_36_42	-7.46577526417014	30.0024675023932	15.5184679235575
X3_41_39	-18.0844546946505	21.4779841664148	23.8819885044097
X3_37_37	-16.0987501758442	-1.55454338336895	23.1291880634423
X3_37_53	-19.4737709505756	19.2009614083591	19.0708466128367
X3_56_56	-17.0170196337974	1.22970416591714	32.2362095626222
X3_32_38	-21.311808215202	13.5589739703945	20.5906019908184
X3_35_35	-10.5874320261128	24.9120795778998	18.5719752574808
X3_33_43	-5.9838068602721	-5.78673816731531	10.2686426999967
X3_45_39	-9.54783450527337	30.1441123085114	17.3334901895663
X3_35_47	-22.5653625409538	-2.72684334727099	23.5636985408046
X3_41_43	-17.7790977953018	28.690541834186	11.1451214172176
X4_48_36	-18.7561758047902	17.2389049650932	21.9964427245893
X4_43_39	-9.91919148311318	29.5093008607641	16.4482654112333
X4_49_33	-14.0979092198733	28.9753001100738	19.9126026164574
X4_46_40	-19.9093573063903	18.7477235653415	17.3941737985496
X4_43_29	-17.0008710826824	26.1453716524736	16.7366211524581
X4_47_39	-20.1177731281795	18.3786442076133	18.672868917674
X4_44_38	-17.9840706652502	15.0209448799335	20.2388644591776
X4_49_31	-15.3632621593606	23.361558348584	22.7155742515531
X4_43_45	-15.315683652905	16.1562838719149	18.2475784888802
X4_48_32	-14.6002952359171	28.2753656343731	18.6993914157891
X4_44_32	-14.2056304267855	21.4459742868116	11.1597774853027
X4_45_31	-18.4487429001258	11.170165892828	16.192596295843
X4_42_38	-17.3635934987185	26.0481266646695	16.3290836604142
X4_51_31	-15.4983747893972	29.5647554179298	16.9221995932129
X4_46_38	-15.4906656221363	17.8946025025267	20.5701334459863
X4_41_29	-17.5665615549888	28.6985835513756	12.1760894897115
X4_45_37	-20.769803449896	2.69295986176427	26.3479631100258
X4_55_29	-14.8087609888886	17.3664244858989	15.2461431109765
X4_52_32	-9.32293588975827	32.8424049325406	16.5552857005941
X4_48_38	-18.0892004164883	-2.12333647029927	29.6066041989544
X4_41_33	-16.069968497243	-11.3253998186237	16.971214377861
X4_43_41	-11.327803106557	29.7383876033912	15.6442051114885
X4_50_50	-14.1445099100006	28.1692397706192	19.4620720502474
X4_50_34	-19.9321524728748	10.2636689928154	22.8771100136887
X4_46_46	-21.6694728989407	10.8702679127936	11.9438932568863
X4_54_48	-14.5464913825422	-3.12297696155603	26.8385471641345
X4_43_25	-20.6906047715012	18.2301915461369	18.6679401076144
X4_51_49	-17.04958226182	1.01344150775077	32.1853874387649
X4_50_32	-21.4433210143134	18.013933200167	19.0548437004547
X4_47_45	-21.9756757546264	5.40764379582179	26.5182986152078
X4_42_40	-13.0482735860463	16.4125021577363	16.6386127232296
X4_50_30	-19.4033256316416	17.9755307396118	18.9122261084681
X4_51_51	-17.6361886225725	1.11085051355599	31.212297868252
X4_43_37	-23.127625708109	1.9731172041881	26.6443889053191
X4_43_33	-12.6074236716873	11.5172378750139	10.2850490521065
X4_54_28	-15.5491508382962	8.76727453983048	18.3185071655582
X4_49_47	-10.5920066969753	29.8740631883938	17.0874037164453
X4_51_33	-22.7296337672145	6.72959686505507	17.4150807812025
X4_47_37	-17.3409836309745	-0.292618367834776	30.7914851546793
X4_48_46	-13.0649480232426	25.3777379911559	15.9854747276394
X4_42_44	-17.9013888773429	0.173568000442738	30.6806669993925
X4_51_47	-9.30775924139368	29.9433395192566	19.0445138416609
X4_55_49	-14.7302870307097	-4.90237238490913	28.7135228219487
X4_50_48	-15.5733744022904	30.0636898666591	16.2784006597198
X4_44_36	-19.3018592501061	18.0678521179506	18.8642749778018
X4_42_32	-22.8326254509695	5.05658589511306	18.5511577737163
X4_51_35	-16.2277773586245	14.2672609180489	18.5690874938099
X4_52_28	-6.50777345328859	28.927617888297	15.1757639844396
X4_49_37	-17.0580578807825	-5.80600372523259	20.1290418501899
X4_40_28	-17.0480926790685	26.8507036496955	16.5861343725654
X4_53_29	-7.5948867842079	30.1798673349148	14.8072891294209
X4_47_33	-13.0995243454465	22.3177878513738	14.9498659966578
X4_45_39	-13.68738645381	22.4558480871829	14.1560828261163
X4_48_34	-15.8600437002593	28.7973610052516	17.1045181050542
X4_54_30	-9.59209097290428	32.7068395380721	15.8323329052252
X4_62_48	11.5305218894322	-18.4550684408873	19.018908360582
X4_44_40	-17.8593637289841	26.3097676964837	10.7278444825015
X4_63_47	14.342941305322	-18.3924571454219	18.7746934413701
X4_52_30	14.6842245806662	-14.210504768419	19.5055596978721
X4_41_43	-6.16047818141715	-7.87874784419415	23.7568505971957
X1_48_54	4.63880493428482	11.7815343149798	-28.5598605931485
X1_32_50	6.12792883126755	-8.97873607370769	-22.7739514827336
X1_19_37	5.58771338946498	-10.4478322622724	-23.2138391011282
X1_44_56	3.96538919747322	-10.2128144028983	-24.7300244569188
X1_22_48	23.6684052416053	3.00343509431545	-0.632368217561935
X1_29_35	10.1451413829789	12.7051128049739	-24.4085319833368
X1_36_40	16.3644269278107	4.56614455999325	-8.38690618724472
X1_38_56	5.20595407969926	-20.0746680717262	-13.4317898295076
X1_19_47	18.3498327845397	9.00150693832205	-4.78636431161191
X1_29_33	-2.36618457875307	-11.1239040338605	-18.264537698502
X1_45_57	2.89371273903019	11.1370768611398	-32.4905592929628
X1_25_35	17.2453146770902	1.3377197407198	-12.3422969104831
X1_48_40	24.7832340159374	-12.0307793801211	0.98197238754893
X1_36_36	6.15749211100962	14.4380032441129	-30.9133853822182
