x,y,score,sample,section
630,16,30,0,RA2,Section1
631,16,31,0,RA2,Section1
632,16,32,0,RA2,Section1
633,16,33,0,RA2,Section1
634,16,34,0,RA2,Section1
635,16,35,0,RA2,Section1
636,16,36,0,RA2,Section1
637,16,37,0,RA2,Section1
638,16,38,0,RA2,Section1
639,16,39,0,RA2,Section1
640,16,40,NA,RA2,Section1
641,17,1,NA,RA2,Section1
642,17,2,0.0231156417288022,RA2,Section1
643,17,3,0.0363409410698423,RA2,Section1
644,17,4,0.29534448915203,RA2,Section1
645,17,5,0.438994516809839,RA2,Section1
646,17,6,0.173065527838021,RA2,Section1
647,17,7,0,RA2,Section1
648,17,8,0,RA2,Section1
649,17,9,0.372008074274151,RA2,Section1
650,17,10,0.682014802835846,RA2,Section1
651,17,11,0.217004709993149,RA2,Section1
652,17,12,0,RA2,Section1
653,17,13,0,RA2,Section1
654,17,14,0.462885800625061,RA2,Section1
655,17,15,0.462885800625063,RA2,Section1
656,17,16,0,RA2,Section1
657,17,17,0,RA2,Section1
658,17,18,0.1892365259198,RA2,Section1
659,17,19,0.693867261705848,RA2,Section1
660,17,20,0.410012472826151,RA2,Section1
661,17,21,0,RA2,Section1
662,17,22,0,RA2,Section1
663,17,23,0,RA2,Section1
664,17,24,0,RA2,Section1
665,17,25,0,RA2,Section1
666,17,26,0,RA2,Section1
667,17,27,3.903885353214e-14,RA2,Section1
668,17,28,0.459648016262311,RA2,Section1
669,17,29,0.415872014713482,RA2,Section1
670,17,30,0,RA2,Section1
671,17,31,0,RA2,Section1
672,17,32,0,RA2,Section1
673,17,33,0,RA2,Section1
674,17,34,0,RA2,Section1
675,17,35,0,RA2,Section1
676,17,36,0,RA2,Section1
677,17,37,0,RA2,Section1
678,17,38,0,RA2,Section1
679,17,39,0,RA2,Section1
680,17,40,NA,RA2,Section1
681,18,1,NA,RA2,Section1
682,18,2,0.392965909391901,RA2,Section1
683,18,3,0.0363409410698387,RA2,Section1
684,18,4,0.290727528558927,RA2,Section1
685,18,5,0.402058832065151,RA2,Section1
686,18,6,0.147672244576061,RA2,Section1
687,18,7,0,RA2,Section1
688,18,8,0,RA2,Section1
689,18,9,0.372008074274141,RA2,Section1
690,18,10,1.02302220425398,RA2,Section1
691,18,11,0.713015475692086,RA2,Section1
692,18,12,0.0620013457122619,RA2,Section1
693,18,13,0,RA2,Section1
694,18,14,0.0272285765074274,RA2,Section1
695,18,15,0.0272285765074375,RA2,Section1
696,18,16,0,RA2,Section1
697,18,17,0,RA2,Section1
698,18,18,0.189236525919792,RA2,Section1
699,18,19,0.851564366639075,RA2,Section1
700,18,20,0.914643208612283,RA2,Section1
701,18,21,0.252315367893013,RA2,Section1
702,18,22,0,RA2,Section1
703,18,23,0,RA2,Section1
704,18,24,0,RA2,Section1
705,18,25,0,RA2,Section1
706,18,26,0,RA2,Section1
707,18,27,3.41398601477145e-14,RA2,Section1
708,18,28,0.459648016262306,RA2,Section1
709,18,29,0.766080027103796,RA2,Section1
710,18,30,0.30643201084153,RA2,Section1
